fasta_id	enzyme_id	pdb_path	function_logit_path	donor_compounds	donor_type	donor_carrier	acceptor_superclasses
Atha_UGT72D1_NP_849978.2	Atha_UGT72D1_NP_849978.2	UGT_structures/Atha_UGT72D1_NP_849978.2/AF-Q9ZU72-F1-model_v6.pdb	UGT_structures/Atha_UGT72D1_NP_849978.2/Atha_UGT72D1_NP_849978.2_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Apocarotenoids;Diphenyl ethers (DPEs);Naphthalenes;Proline alkaloids
Atha_UGT72E1_NP_566938.1	Atha_UGT72E1_NP_566938.1	UGT_structures/Atha_UGT72E1_NP_566938.1/AF-Q94A84-F1-model_v6.pdb	UGT_structures/Atha_UGT72E1_NP_566938.1/Atha_UGT72E1_NP_566938.1_function_logits_structure_steps10.pt				Phenylpropanoids (C6-C3)
Atha_UGT72E2_NP_001078054.1	Atha_UGT72E2_NP_001078054.1	UGT_structures/Atha_UGT72E2_NP_001078054.1/AF-Q96254-F1-model_v6.pdb	UGT_structures/Atha_UGT72E2_NP_001078054.1/Atha_UGT72E2_NP_001078054.1_function_logits_structure_steps10.pt				Phenylpropanoids (C6-C3)
Atha_UGT72E2_NP_201470.1	Atha_AtUGT72E2_NP_201470.1	UGT_structures/Atha_UGT72E2_NP_201470.1/AF-Q9LVR1-F1-model_v6.pdb	UGT_structures/Atha_UGT72E2_NP_201470.1/Atha_UGT72E2_NP_201470.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Naphthalenes;Phenylpropanoids (C6-C3);Proline alkaloids
Atha_UGT72E3_NP_198003.1	Atha_AtUGT72E3_NP_198003.1	UGT_structures/Atha_UGT72E3_NP_198003.1/AF-O81498-F1-model_v6.pdb	UGT_structures/Atha_UGT72E3_NP_198003.1/Atha_UGT72E3_NP_198003.1_function_logits_structure_steps10.pt				Phenylpropanoids (C6-C3)
Atha_UGT73A15_NP_182112.2	Atha_AtUGT73A15_NP_182112.2	UGT_structures/Atha_UGT73A15_NP_182112.2/AF-O80831-F1-model_v6.pdb	UGT_structures/Atha_UGT73A15_NP_182112.2/Atha_UGT73A15_NP_182112.2_function_logits_structure_steps10.pt				Flavonoids;Saccharides;Stilbenoids
Atha_UGT73B2_NP_567954.1	Atha_UGT73B2_NP_567954.1	UGT_structures/Atha_UGT73B2_NP_567954.1/AF-Q94C57-F1-model_v6.pdb	UGT_structures/Atha_UGT73B2_NP_567954.1/Atha_UGT73B2_NP_567954.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	
Atha_UGT73B3_NP_567953.1	Atha_AtUGT73B3_NP_567953.1	UGT_structures/Atha_UGT73B3_NP_567953.1/AF-Q8W491-F1-model_v6.pdb	UGT_structures/Atha_UGT73B3_NP_567953.1/Atha_UGT73B3_NP_567953.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	
Atha_UGT73B4_NP_179151.2	Atha_UGT73B4_NP_179151.2	UGT_structures/Atha_UGT73B4_NP_179151.2/AF-Q7Y232-F1-model_v6.pdb	UGT_structures/Atha_UGT73B4_NP_179151.2/Atha_UGT73B4_NP_179151.2_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Flavonoids;Proline alkaloids
Atha_UGT73B5_NP_179150.3	Atha_UGT73B5_NP_179150.3_2	UGT_structures/Atha_UGT73B5_NP_179150.3/AF-Q9ZQG4-F1-model_v6.pdb	UGT_structures/Atha_UGT73B5_NP_179150.3/Atha_UGT73B5_NP_179150.3_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Flavonoids;Proline alkaloids
Atha_UGT73C1_NP_181213.1	Atha_UGT73C1_NP_181213.1	UGT_structures/Atha_UGT73C1_NP_181213.1/AF-Q9ZQ99-F1-model_v6.pdb	UGT_structures/Atha_UGT73C1_NP_181213.1/Atha_UGT73C1_NP_181213.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	
Atha_UGT73C2_NP_181214.1	Atha_UGT73C2_NP_181214.1	UGT_structures/Atha_UGT73C2_NP_181214.1/AF-Q9ZQ98-F1-model_v6.pdb	UGT_structures/Atha_UGT73C2_NP_181214.1/Atha_UGT73C2_NP_181214.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Proline alkaloids
Atha_UGT73C3_NP_181216.1	Atha_UGT73C3_NP_181216.1	UGT_structures/Atha_UGT73C3_NP_181216.1/AF-Q9ZQ96-F1-model_v6.pdb	UGT_structures/Atha_UGT73C3_NP_181216.1/Atha_UGT73C3_NP_181216.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Naphthalenes;Proline alkaloids
Atha_UGT73C4_NP_181215.1	Atha_UGT73C4_NP_181215.1	UGT_structures/Atha_UGT73C4_NP_181215.1/AF-Q9ZQ97-F1-model_v6.pdb	UGT_structures/Atha_UGT73C4_NP_181215.1/Atha_UGT73C4_NP_181215.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Sesquiterpenoids
Atha_UGT73C5_NP_181218.1	Atha_AtUGT73C5_NP_181218.1	UGT_structures/Atha_UGT73C5_NP_181218.1/AF-Q9ZQ94-F1-model_v6.pdb	UGT_structures/Atha_UGT73C5_NP_181218.1/Atha_UGT73C5_NP_181218.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Naphthalenes;Proline alkaloids;Sesquiterpenoids;Steroids
Atha_UGT73C6_NP_181217.1	Atha_UGT73C6_NP_181217.1_2	UGT_structures/Atha_UGT73C6_NP_181217.1/AF-Q9ZQ95-F1-model_v6.pdb	UGT_structures/Atha_UGT73C6_NP_181217.1/Atha_UGT73C6_NP_181217.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Flavonoids;Isoflavonoids;Macrolides;Naphthalenes;Proline alkaloids;Steroids
Atha_UGT74B1_NP_173820.1	Atha_AtUGT74B1_NP_173820.1	UGT_structures/Atha_UGT74B1_NP_173820.1/AF-O48676-F1-model_v6.pdb	UGT_structures/Atha_UGT74B1_NP_173820.1/Atha_UGT74B1_NP_173820.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Phenylpropanoids (C6-C3)
Atha_UGT74D1_NP_001325305.1	Atha_AtUGT74D1_NP_001325305.1	UGT_structures/Atha_UGT74D1_NP_001325305.1/AF-A0A1P8B2S3-F1-model_v6.pdb	UGT_structures/Atha_UGT74D1_NP_001325305.1/Atha_UGT74D1_NP_001325305.1_function_logits_structure_steps10.pt				Tryptophan alkaloids
Atha_UGT74D1_NP_180734.1	Atha_UGT74D1_NP_180734.1	UGT_structures/Atha_UGT74D1_NP_180734.1/AF-Q9SKC5-F1-model_v6.pdb	UGT_structures/Atha_UGT74D1_NP_180734.1/Atha_UGT74D1_NP_180734.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Proline alkaloids;Small peptides;Tryptophan alkaloids
Atha_UGT74D1_Q9LL53	Atha_UGT74D1_Q9LL53	UGT_structures/Atha_UGT74D1_Q9LL53/AF-Q9LL53-F1-model_v6.pdb	UGT_structures/Atha_UGT74D1_Q9LL53/Atha_UGT74D1_Q9LL53_function_logits_structure_steps10.pt				Tryptophan alkaloids
Atha_UGT74E2_NP_172059.1	Atha_AtUGT74E2_NP_172059.1	UGT_structures/Atha_UGT74E2_NP_172059.1/AF-Q9SYK9-F1-model_v6.pdb	UGT_structures/Atha_UGT74E2_NP_172059.1/Atha_UGT74E2_NP_172059.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Small peptides;Tryptophan alkaloids
Atha_UGT74F1_NP_181912.1	Atha_UGT74F1_NP_181912.1	UGT_structures/Atha_UGT74F1_NP_181912.1/AF-O22820-F1-model_v6.pdb	UGT_structures/Atha_UGT74F1_NP_181912.1/Atha_UGT74F1_NP_181912.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Anthranilic acid alkaloids;Flavonoids;Phenolic acids (C6-C1);Small peptides
Atha_UGT74F2_NP_181910.1	Atha_UGT74F2_NP_181910.1	UGT_structures/Atha_UGT74F2_NP_181910.1/AF-O22822-F1-model_v6.pdb	UGT_structures/Atha_UGT74F2_NP_181910.1/Atha_UGT74F2_NP_181910.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Anthranilic acid alkaloids;Flavonoids;Nicotinic acid alkaloids;Phenolic acids (C6-C1);Small peptides
Atha_UGT75B1_NP_193178.1	Atha_UGT75B1_NP_193178.1	UGT_structures/Atha_UGT75B1_NP_193178.1/AF-O23298-F1-model_v6.pdb	UGT_structures/Atha_UGT75B1_NP_193178.1/Atha_UGT75B1_NP_193178.1_function_logits_structure_steps10.pt				Phenolic acids (C6-C1)
Atha_UGT75B1_NP_563742.1	Atha_UGT75B1_NP_563742.1	UGT_structures/Atha_UGT75B1_NP_563742.1/AF-Q9LR44-F1-model_v6.pdb	UGT_structures/Atha_UGT75B1_NP_563742.1/Atha_UGT75B1_NP_563742.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Apocarotenoids;Tryptophan alkaloids
Atha_UGT75D1_NP_001331708.1	Atha_UGT75D1_NP_001331708.1	UGT_structures/Atha_UGT75D1_NP_001331708.1/AF-Q9FJ85-F1-model_v6.pdb	UGT_structures/Atha_UGT75D1_NP_001331708.1/Atha_UGT75D1_NP_001331708.1_function_logits_structure_steps10.pt				Flavonoids
Atha_UGT75D1_NP_567471.1	Atha_UGT75D1_NP_567471.1	UGT_structures/Atha_UGT75D1_NP_567471.1/AF-O23406-F1-model_v6.pdb	UGT_structures/Atha_UGT75D1_NP_567471.1/Atha_UGT75D1_NP_567471.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Proline alkaloids
Atha_UGT76B1_NP_187742.1	Atha_UGT76B1_NP_187742.1	UGT_structures/Atha_UGT76B1_NP_187742.1/AF-Q9C768-F1-model_v6.pdb	UGT_structures/Atha_UGT76B1_NP_187742.1/Atha_UGT76B1_NP_187742.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Fatty Acids and Conjugates;Phenolic acids (C6-C1);Small peptides
Atha_UGT76C3_NP_196209.1	Atha_UGT76C3_NP_196209.1	UGT_structures/Atha_UGT76C3_NP_196209.1/AF-Q9FI96-F1-model_v6.pdb	UGT_structures/Atha_UGT76C3_NP_196209.1/Atha_UGT76C3_NP_196209.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Pseudoalkaloids
Atha_UGT76C4_other_source_NP_196207.1	Atha_UGT76C4_other_source_NP_196207.1	UGT_structures/Atha_UGT76C4_other_source_NP_196207.1/AF-Q9FI98-F1-model_v6.pdb	UGT_structures/Atha_UGT76C4_other_source_NP_196207.1/Atha_UGT76C4_other_source_NP_196207.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Nicotinic acid alkaloids
Atha_UGT76C5_other_source_NP_196208.1	Atha_UGT76C5_other_source_NP_196208.1	UGT_structures/Atha_UGT76C5_other_source_NP_196208.1/AF-Q9FI97-F1-model_v6.pdb	UGT_structures/Atha_UGT76C5_other_source_NP_196208.1/Atha_UGT76C5_other_source_NP_196208.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Nicotinic acid alkaloids
Atha_UGT76E11_NP_190251.1	Atha_UGT76E11_NP_190251.1	UGT_structures/Atha_UGT76E11_NP_190251.1/AF-Q9SNB1-F1-model_v6.pdb	UGT_structures/Atha_UGT76E11_NP_190251.1/Atha_UGT76E11_NP_190251.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Octadecanoids
Atha_UGT76E12_NP_566885.1	Atha_UGT76E12_NP_566885.1	UGT_structures/Atha_UGT76E12_NP_566885.1/AF-Q94AB5-F1-model_v6.pdb	UGT_structures/Atha_UGT76E12_NP_566885.1/Atha_UGT76E12_NP_566885.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Flavonoids;Naphthalenes;Octadecanoids;Proline alkaloids
Atha_UGT76E1_NP_200766.2	Atha_UGT76E1_NP_200766.2	UGT_structures/Atha_UGT76E1_NP_200766.2/AF-Q9LTH3-F1-model_v6.pdb	UGT_structures/Atha_UGT76E1_NP_200766.2/Atha_UGT76E1_NP_200766.2_function_logits_structure_steps10.pt	UDP-Gal;UDP-GlcNAc;UDP-glucose	hexose;hexose_derivative	UDP	Flavonoids
Atha_UGT76E1_OAO90200.1	Atha_UGT76E1_OAO90200.1	UGT_structures/Atha_UGT76E1_OAO90200.1/AF-A0A178U937-F1-model_v6.pdb	UGT_structures/Atha_UGT76E1_OAO90200.1/Atha_UGT76E1_OAO90200.1_function_logits_structure_steps10.pt				Pseudoalkaloids
Atha_UGT76E2_NP_200767.1	Atha_UGT76E2_NP_200767.1	UGT_structures/Atha_UGT76E2_NP_200767.1/AF-Q9LTH2-F1-model_v6.pdb	UGT_structures/Atha_UGT76E2_NP_200767.1/Atha_UGT76E2_NP_200767.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Flavonoids
Atha_UGT76E3_NP_190254.2	Atha_UGT76E3_NP_190254.2	UGT_structures/Atha_UGT76E3_NP_190254.2/AF-Q494Q1-F1-model_v6.pdb	UGT_structures/Atha_UGT76E3_NP_190254.2/Atha_UGT76E3_NP_190254.2_function_logits_structure_steps10.pt				Tryptophan alkaloids
Atha_UGT76E4_NP_190253.1	Atha_UGT76E4_NP_190253.1	UGT_structures/Atha_UGT76E4_NP_190253.1/AF-Q9STE3-F1-model_v6.pdb	UGT_structures/Atha_UGT76E4_NP_190253.1/Atha_UGT76E4_NP_190253.1_function_logits_structure_steps10.pt				Tryptophan alkaloids
Atha_UGT76E5_NP_190256.1	Atha_UGT76E5_NP_190256.1	UGT_structures/Atha_UGT76E5_NP_190256.1/AF-Q9STE6-F1-model_v6.pdb	UGT_structures/Atha_UGT76E5_NP_190256.1/Atha_UGT76E5_NP_190256.1_function_logits_structure_steps10.pt	UDP-Gal;UDP-GlcNAc;UDP-glucose	hexose;hexose_derivative	UDP	Flavonoids
Atha_UGT76E6_NP_190252.1	Atha_UGT76E6_NP_190252.1	UGT_structures/Atha_UGT76E6_NP_190252.1/AF-Q9SNB0-F1-model_v6.pdb	UGT_structures/Atha_UGT76E6_NP_190252.1/Atha_UGT76E6_NP_190252.1_function_logits_structure_steps10.pt				Tryptophan alkaloids
Atha_UGT78D1_NP_564357.1	Atha_AtUGT78D1_NP_564357.1	UGT_structures/Atha_UGT78D1_NP_564357.1/AF-Q9S9P6-F1-model_v6.pdb	UGT_structures/Atha_UGT78D1_NP_564357.1/Atha_UGT78D1_NP_564357.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Flavonoids
Atha_UGT78D2_NP_197207	Atha_UGT78D2_NP_197207	UGT_structures/Atha_UGT78D2_NP_197207/AF-Q9LFJ8-F1-model_v6.pdb	UGT_structures/Atha_UGT78D2_NP_197207/Atha_UGT78D2_NP_197207_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Flavonoids
Atha_UGT78D3_NP_197205.1	Atha_AtUGT78D3_NP_197205.1	UGT_structures/Atha_UGT78D3_NP_197205.1/AF-Q9LFK0-F1-model_v6.pdb	UGT_structures/Atha_UGT78D3_NP_197205.1/Atha_UGT78D3_NP_197205.1_function_logits_structure_steps10.pt	UDP-Arabinose	pentose	UDP	Flavonoids
Atha_UGT79B10_NP_176671.1	Atha_UGT79B10_NP_176671.1	UGT_structures/Atha_UGT79B10_NP_176671.1/AF-Q9XIQ5-F1-model_v6.pdb	UGT_structures/Atha_UGT79B10_NP_176671.1/Atha_UGT79B10_NP_176671.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Apocarotenoids
Atha_UGT79B5_NP_175473.1	Atha_UGT79B5_NP_175473.1	UGT_structures/Atha_UGT79B5_NP_175473.1/AF-Q9LPS8-F1-model_v6.pdb	UGT_structures/Atha_UGT79B5_NP_175473.1/Atha_UGT79B5_NP_175473.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Apocarotenoids
Atha_UGT79B6_NP_200212.1	Atha_UGT79B6_NP_200212.1	UGT_structures/Atha_UGT79B6_NP_200212.1/AF-Q9FN26-F1-model_v6.pdb	UGT_structures/Atha_UGT79B6_NP_200212.1/Atha_UGT79B6_NP_200212.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Flavonoids
Atha_UGT79B9_NP_200210.1	Atha_UGT79B9_NP_200210.1	UGT_structures/Atha_UGT79B9_NP_200210.1/AF-Q9FN28-F1-model_v6.pdb	UGT_structures/Atha_UGT79B9_NP_200210.1/Atha_UGT79B9_NP_200210.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Apocarotenoids
Atha_UGT80A2_NP_566297	Atha_UGT80A2_NP_566297	UGT_structures/Atha_UGT80A2_NP_566297/AF-Q9M8Z7-F1-model_v6.pdb	UGT_structures/Atha_UGT80A2_NP_566297/Atha_UGT80A2_NP_566297_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Steroids
Atha_UGT80B1_NP_175027	Atha_UGT80B1_NP_175027	UGT_structures/Atha_UGT80B1_NP_175027/AF-Q9XIG1-F1-model_v6.pdb	UGT_structures/Atha_UGT80B1_NP_175027/Atha_UGT80B1_NP_175027_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Steroids
Atha_UGT84A1_NP_193283.2	Atha_AtUGT84A1_NP_193283.2	UGT_structures/Atha_UGT84A1_NP_193283.2/AF-Q5XF20-F1-model_v6.pdb	UGT_structures/Atha_UGT84A1_NP_193283.2/Atha_UGT84A1_NP_193283.2_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Phenylpropanoids (C6-C3)
Atha_UGT84A2_NP_188793.1	Atha_AtUGT84A2_NP_188793.1	UGT_structures/Atha_UGT84A2_NP_188793.1/AF-Q9LVF0-F1-model_v6.pdb	UGT_structures/Atha_UGT84A2_NP_188793.1/Atha_UGT84A2_NP_188793.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Phenylpropanoids (C6-C3);Proline alkaloids
Atha_UGT84A2_NP_200164.1	Atha_UGT84A2_NP_200164.1	UGT_structures/Atha_UGT84A2_NP_200164.1/AF-Q9FJD1-F1-model_v6.pdb	UGT_structures/Atha_UGT84A2_NP_200164.1/Atha_UGT84A2_NP_200164.1_function_logits_structure_steps10.pt				Phenylpropanoids (C6-C3)
Atha_UGT84A3_NP_193284.1	Atha_AtUGT84A3_NP_193284.1	UGT_structures/Atha_UGT84A3_NP_193284.1/AF-O23401-F1-model_v6.pdb	UGT_structures/Atha_UGT84A3_NP_193284.1/Atha_UGT84A3_NP_193284.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Phenylpropanoids (C6-C3)
Atha_UGT84A4_NP_193285.1	Atha_AtUGT84A4_NP_193285.1	UGT_structures/Atha_UGT84A4_NP_193285.1/AF-O23402-F1-model_v6.pdb	UGT_structures/Atha_UGT84A4_NP_193285.1/Atha_UGT84A4_NP_193285.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Phenylpropanoids (C6-C3)
Atha_UGT84B1_NP_175579.1	Atha_UGT84B1_NP_175579.1	UGT_structures/Atha_UGT84B1_NP_175579.1/AF-Q42524-F1-model_v6.pdb	UGT_structures/Atha_UGT84B1_NP_175579.1/Atha_UGT84B1_NP_175579.1_function_logits_structure_steps10.pt				Tryptophan alkaloids
Atha_UGT84B1_NP_179907.1	Atha_UGT84B1_At_UGT84B1_NP_179907.1	UGT_structures/Atha_UGT84B1_NP_179907.1/AF-O22182-F1-model_v6.pdb	UGT_structures/Atha_UGT84B1_NP_179907.1/Atha_UGT84B1_NP_179907.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Apocarotenoids;Diphenyl ethers (DPEs);Tryptophan alkaloids
Atha_UGT84B2_NP_179906.1	Atha_UGT84B2_NP_179906.1	UGT_structures/Atha_UGT84B2_NP_179906.1/AF-O22183-F1-model_v6.pdb	UGT_structures/Atha_UGT84B2_NP_179906.1/Atha_UGT84B2_NP_179906.1_function_logits_structure_steps10.pt				Tryptophan alkaloids
Atha_UGT85A1_NP_173656.1	Atha_UGT85A1_NP_173656.1	UGT_structures/Atha_UGT85A1_NP_173656.1/AF-Q9SK82-F1-model_v6.pdb	UGT_structures/Atha_UGT85A1_NP_173656.1/Atha_UGT85A1_NP_173656.1_function_logits_structure_steps10.pt				Pseudoalkaloids
Atha_UGT85A4_NP_177950.1	Atha_UGT85A4_NP_177950.1	UGT_structures/Atha_UGT85A4_NP_177950.1/AF-Q9M9E7-F1-model_v6.pdb	UGT_structures/Atha_UGT85A4_NP_177950.1/Atha_UGT85A4_NP_177950.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Proline alkaloids
Atha_UGT88A1_NP_566549.1	Atha_UGT88A1_NP_566549.1	UGT_structures/Atha_UGT88A1_NP_566549.1/AF-Q9LK73-F1-model_v6.pdb	UGT_structures/Atha_UGT88A1_NP_566549.1/Atha_UGT88A1_NP_566549.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Diphenyl ethers (DPEs);Flavonoids;Naphthalenes;Proline alkaloids
Atha_UGT89A2_C24_NP_195969.1	Atha_UGT89A2_C24_NP_195969.1	UGT_structures/Atha_UGT89A2_C24_NP_195969.1/AF-Q9LZD8-F1-model_v6.pdb	UGT_structures/Atha_UGT89A2_C24_NP_195969.1/Atha_UGT89A2_C24_NP_195969.1_function_logits_structure_steps10.pt	UDP - Xyl;UDP-glucose	hexose;pentose	UDP	Phenolic acids (C6-C1)
Atha_UGT89B1_NP_177529.2	Atha_UGT89B1_NP_177529.2	UGT_structures/Atha_UGT89B1_NP_177529.2/AF-Q9C9B0-F1-model_v6.pdb	UGT_structures/Atha_UGT89B1_NP_177529.2/Atha_UGT89B1_NP_177529.2_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Naphthalenes;Phenolic acids (C6-C1);Proline alkaloids
Atha_UGT89C1_NP_563756.1	Atha_AtUGT89C1_NP_563756.1	UGT_structures/Atha_UGT89C1_NP_563756.1/AF-Q9LNE6-F1-model_v6.pdb	UGT_structures/Atha_UGT89C1_NP_563756.1/Atha_UGT89C1_NP_563756.1_function_logits_structure_steps10.pt	UDP-Rha		UDP	Flavonoids
Atha_UGT89C1_NP_567494.1	Atha_AtUGT89C1_NP_567494.1	UGT_structures/Atha_UGT89C1_NP_567494.1/AF-Q8VZK4-F1-model_v6.pdb	UGT_structures/Atha_UGT89C1_NP_567494.1/Atha_UGT89C1_NP_567494.1_function_logits_structure_steps10.pt				Flavonoids
Atha_UGT_NP_001154260.1	Atha_NA_NP_001154260.1	UGT_structures/Atha_UGT_NP_001154260.1/AF-A7XDQ9-F1-model_v6.pdb	UGT_structures/Atha_UGT_NP_001154260.1/Atha_UGT_NP_001154260.1_function_logits_structure_steps10.pt	UDP-Gal	hexose	UDP	
Atha_UGT_NP_194478.3	Atha_NA_NP_194478.3	UGT_structures/Atha_UGT_NP_194478.3/AF-F4JIW2-F1-model_v6.pdb	UGT_structures/Atha_UGT_NP_194478.3/Atha_UGT_NP_194478.3_function_logits_structure_steps10.pt	UDP-glucuronic acid	hexose_derivative	UDP	
Atha_XGD1_NP_198314.2	Atha_XGD1_NP_198314.2	UGT_structures/Atha_XGD1_NP_198314.2/AF-Q94AA9-F1-model_v6.pdb	UGT_structures/Atha_XGD1_NP_198314.2/Atha_XGD1_NP_198314.2_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	
Atha_XT1_NP_001030917.1	Atha_XXT1_NP_001030917.1	UGT_structures/Atha_XT1_NP_001030917.1/AF-Q9LZJ3-F1-model_v6.pdb	UGT_structures/Atha_XT1_NP_001030917.1/Atha_XT1_NP_001030917.1_function_logits_structure_steps10.pt	UDP - Xyl;UDP-glucose	hexose;pentose	UDP	Saccharides
Bchi_7OUGT_WNV71562.1	Bchi_Bc7OUGT_WNV71562.1	UGT_structures/Bchi_7OUGT_WNV71562.1/AF-A0AA96QCN7-F1-model_v6.pdb	UGT_structures/Bchi_7OUGT_WNV71562.1/Bchi_7OUGT_WNV71562.1_function_logits_structure_steps10.pt				Flavonoids;Isoflavonoids;Phenylethanoids (C6-C2)
Bdis_Bradi5g03300_XP_014752582.1	Bdis_Bradi5g03300_XP_014752582.1	UGT_structures/Bdis_Bradi5g03300_XP_014752582.1/AF-I1GU55-F1-model_v6.pdb	UGT_structures/Bdis_Bradi5g03300_XP_014752582.1/Bdis_Bradi5g03300_XP_014752582.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Sesquiterpenoids
Bdis_XAXT1_XP_010234118.1	Bdis_BdXAXT1_XP_010234118.1	UGT_structures/Bdis_XAXT1_XP_010234118.1/AF-A0A0Q3F407-F1-model_v6.pdb	UGT_structures/Bdis_XAXT1_XP_010234118.1/Bdis_XAXT1_XP_010234118.1_function_logits_structure_steps10.pt	UDP - Xyl	pentose	UDP	
Bole_UGT75C2_A0A7G1HIX9	Bole_UGT75C2_A0A7G1HIX9	UGT_structures/Bole_UGT75C2_A0A7G1HIX9/AF-A0A7G1HIX9-F1-model_v6.pdb	UGT_structures/Bole_UGT75C2_A0A7G1HIX9/Bole_UGT75C2_A0A7G1HIX9_function_logits_structure_steps10.pt				Flavonoids
Bole_UGT78D5_A0A7G1HF59	Bole_UGT78D5_A0A7G1HF59	UGT_structures/Bole_UGT78D5_A0A7G1HF59/AF-A0A7G1HF59-F1-model_v6.pdb	UGT_structures/Bole_UGT78D5_A0A7G1HF59/Bole_UGT78D5_A0A7G1HF59_function_logits_structure_steps10.pt				Flavonoids
Bole_UGT79B44_A0A7G1HFV4	Bole_UGT79B44_A0A7G1HFV4	UGT_structures/Bole_UGT79B44_A0A7G1HFV4/AF-A0A7G1HFV4-F1-model_v6.pdb	UGT_structures/Bole_UGT79B44_A0A7G1HFV4/Bole_UGT79B44_A0A7G1HFV4_function_logits_structure_steps10.pt				Flavonoids
Bole_UGT79B45_A0A7G1HGR7	Bole_UGT79B45_A0A7G1HGR7	UGT_structures/Bole_UGT79B45_A0A7G1HGR7/AF-A0A7G1HGR7-F1-model_v6.pdb	UGT_structures/Bole_UGT79B45_A0A7G1HGR7/Bole_UGT79B45_A0A7G1HGR7_function_logits_structure_steps10.pt				Flavonoids
Bper_UGAT_BAD77944.1	Bper_BpUGAT_BAD77944.1	UGT_structures/Bper_UGAT_BAD77944.1/AF-Q5NTH0-F1-model_v6.pdb	UGT_structures/Bper_UGAT_BAD77944.1/Bper_UGAT_BAD77944.1_function_logits_structure_steps10.pt	UDP-glucuronic acid	hexose_derivative	UDP	Flavonoids
Bvul_UGT73C11_AFN26667.1	Bvul_BvUGT73C11_AFN26667.1	UGT_structures/Bvul_UGT73C11_AFN26667.1/AF-K4GGT4-F1-model_v6.pdb	UGT_structures/Bvul_UGT73C11_AFN26667.1/Bvul_UGT73C11_AFN26667.1_function_logits_structure_steps10.pt				Triterpenoids
Bvul_UGT73C12_AFN26668.1	Bvul_UGT73C12_AFN26668.1	UGT_structures/Bvul_UGT73C12_AFN26668.1/AF-K4GIP0-F1-model_v6.pdb	UGT_structures/Bvul_UGT73C12_AFN26668.1/Bvul_UGT73C12_AFN26668.1_function_logits_structure_steps10.pt	UDP-glucose	hexose	UDP	Triterpenoids
